ItemID,Line,Blank label,Flexo,Letter press,HP Indigo,Silk screen,Flatbed,RDC,Laminate,Zebra,Sheet cut,Punch hole,Drill hole,Slit,IPQC,FQC,OQC,Nhóm,Mã,Hạng mục (VI),Item (EN),Tiêu chuẩn chấp nhận (VI),Acceptance (EN),Phương pháp · Dụng cụ,Mức,AQL,Cỡ mẫu / Sampling,Loại KT,Mã lỗi,ISO ref,Điều kiện áp dụng,Ghi chú / Note
PNC-A11,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,DIRTY,"Loang, bẩn (Dirty)",Dirty / stained,"Bề mặt sạch, không loang, không vết bẩn","Surface clean, no stain or smudge",Soi mắt dưới đèn chuẩn,○ Minor,4,FAI 100% + AQL 4.0,Visual,DIRTY,,,Pareto #13 — 7 lượt NG
PNC-A12,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,A·Ngoại quan,MATRIX,Bóc lưới thải (Matrix stripping),Matrix stripping,"Lưới thải trôi đều, không đứt, không sót dính trên sản phẩm","Matrix strips evenly, no break, no residue left on product",Soi mắt cuộn/tờ sau bóc,● Major,"1,5",FAI 100% + AQL 1.5,Visual,OTHER,,,Không có mã Pareto riêng — dùng OTHER. Nguồn: SET-CU-07 (bước Setting)
PNC-B1,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,B·Kích thước,SIZE,Kích thước tổng thể (W×L),Overall dimension (W×L),Trong dung sai bản vẽ,Within drawing tolerance,Thước cặp/CMM (KHÔNG thước lá cho dung sai nhỏ),◆ Critical,"0,65",FAI 100% + AQL 0.65,Measure,SIZE,,,⚠ CẦN bên chất lượng điền dung sai SỐ — xem P4
PNC-B2,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,B·Kích thước,PRESSDEV,Vị trí bế so với hình in (Die-to-print),Die-to-print registration,"Đường cắt khớp hình in, lệch ≤ dung sai spec","Cut line matches printed image, deviation within spec",Thước + đối chiếu dưỡng/layout,◆ Critical,"0,65",FAI 100% + AQL 0.65,Measure,PRESSDEV,,,Pareto #10 — 136 lượt NG (dập lệch)
PNC-B3,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,B·Kích thước,CUTDEPTH,Độ sâu cắt (Cut depth),Cut depth,"Kiss-cut: đứt lớp mặt, còn nguyên đế. Through-cut: đứt hết","Kiss-cut severs face only, liner intact. Through-cut fully severed",Tách thử + kính lúp mặt cắt,◆ Critical,"0,65",FAI 100% + AQL 0.65,Measure,FULLCUT,,,⚠ CẦN dung sai SỐ nếu spec có quy định độ sâu
PNC-B4,PRESS_CNC,,,,,,,,,,,,●,,●,,,B·Kích thước,HOLEDIA,Đường kính & vị trí lỗ,Hole diameter and position,Đường kính và vị trí lỗ trong dung sai bản vẽ,Hole diameter and position within drawing tolerance,Thước cặp + dưỡng lỗ,● Major,"1,5",FAI 100% + AQL 1.5,Measure,SIZE,,Chỉ áp dụng khi routing có khoan (MDRH / DRILL),⚠ CẦN dung sai SỐ
PNC-B5,PRESS_CNC,,,,,,,,,,,●,,,●,,,B·Kích thước,PUNCHPOS,Vị trí & hình lỗ đục,Punch position and shape,"Lỗ đục đúng vị trí, đúng hình, không rách mép","Punched hole at correct position and shape, no tearing",Soi mắt + thước + đối chiếu dưỡng,● Major,"1,5",FAI 100% + AQL 1.5,Measure,SIZE,,Chỉ áp dụng khi routing có đục lỗ (PUNC / PUNCH),
PNC-B6,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,B·Kích thước,PITCH,Khoảng cách giữa con / bước (Pitch),Pitch / gap between pieces,Đúng bước và khoảng cách giữa con theo layout,Pitch and gap between pieces per layout,Thước + đếm,● Major,"1,5",FAI 100% + AQL 1.5,Measure,SIZE,,,Nguồn: SET-CU-05 (bước Setting)
PNC-B7,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,B·Kích thước,COUNT,Số con trên tờ / hàng (Count),Count per sheet or row,Số con/hàng đúng layout spec,Count per sheet or row matches layout spec,Đếm trực tiếp,○ Minor,4,FAI 100% + AQL 4.0,Measure,SIZE,,,Nguồn: SET-CU-08
PNC-D1,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,D·Chức năng,RELEASE,Bóc tách thử sản phẩm,Release / peel test,"Bóc được khỏi đế trọn vẹn, không rách, không sót","Peels off liner cleanly, no tear, no residue",Bóc thử bằng tay 3 vị trí đầu-giữa-cuối,● Major,"1,5",FAI 100% + AQL 1.5,Functional,FULLCUT,,Chỉ áp dụng với sản phẩm có lớp đế (kiss-cut),
PNC-D2,PRESS_CNC,,,,,,●,●,,,●,●,●,,●,,,D·Chức năng,FLAT,Độ phẳng sau cắt,Flatness after cutting,"Sản phẩm phẳng, không cong vênh sau khi cắt","Product stays flat, no curl or warp after cutting",Đặt lên mặt phẳng chuẩn + thước lá đo khe,● Major,"1,5",FAI 100% + AQL 1.5,Functional,CONVEX,,,
