ItemID,ProcessLine,Group,Code,ItemVI,ItemEN,AcceptVI,AcceptEN,Method,Severity,AQL,Sampling,InspType,DefectCode,Pareto,ShortForm,ISO,AppliesWhen,Note
LBL-B2,LABEL,B·Kích thước,B2,Kích thước vùng in (Print area),Print area,Đúng kích thước & tỉ lệ spec,Correct size & ratio,Thước + kính lúp đo,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
LBL-B3,LABEL,B·Kích thước,B3,Vị trí in / lề / căn giữa,Position/Margin,Đúng vị trí so đế & đường bế; lề đều,Correct position; even margins,Thước + đối chiếu layout,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
LBL-B4,LABEL,B·Kích thước,B4,Bước nhảy / khoảng lặp (Step/Repeat),Step/Repeat,"Đúng bước, không sai khoảng lặp",Correct step/repeat,Thước + đếm; TẮT chế độ mắt đọc khi kiểm,◆ Critical,0.65,FAI 100% + AQL 0.65,Measure,SIZE,,Y,,,Lỗi lặp — sai bước nhảy
LBL-B5,LABEL,B·Kích thước,B5,"Kích thước & hình bế, góc dao",Die shape/size/angle,"Đúng hình bế, kích thước & góc dao spec",Correct die shape/size/angle,Đối chiếu mẫu/dưỡng; cắt thử dao,◆ Critical,0.65,FAI 100% + AQL 0.65,Measure,SIZE,,Y,,,Lỗi lặp — sai góc dao
LBL-B6,LABEL,B·Kích thước,B6,Khoảng cách giữa con / lỗ định vị,Gap/Hole,Đúng khoảng cách giữa con & vị trí lỗ,Correct gap & hole pos,Thước + đối chiếu dưỡng,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
LBL-B7,LABEL,B·Kích thước,B7,Số con/hàng trên cuộn-tờ (Count),Count,Đúng số con/hàng theo spec,Correct count,Đếm + đối chiếu,○ Minor,4.0,FAI 100% + AQL 4.0,Measure,OTHER,,,,,
LBL-C1,LABEL,C·Màu sắc,C1,Màu so mẫu chuẩn (ΔE),Color vs master,Đạt trong giới hạn màu; ΔE ≤ spec (mặc định ≤2),Within color limits; ΔE ≤ spec,Đèn chuẩn D50/D65 + máy đo màu (nếu có),◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,COLOR,0.1,Y,,,
LBL-C2,LABEL,C·Màu sắc,C2,Mã mực đúng spec (Ink code),Ink code,Mã mực thực tế ↔ spec khớp,Ink code matches spec,Đối chiếu tem mực ↔ spec,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,Lỗi lặp (In lụa)
LBL-C3,LABEL,C·Màu sắc,C3,Đồng đều màu trong & giữa con,Uniformity,Màu đều toàn tem & giữa các con,Color even,Soi mắt nhiều vị trí,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,
LBL-C4,LABEL,C·Màu sắc,C4,Độ đậm / độ phủ mực (Density),Density/Coverage,Đậm nhạt & độ phủ trong giới hạn mẫu,Density within limits,Soi mắt; densitometer (nếu có),● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,
LBL-C5,LABEL,C·Màu sắc,C5,Độ bóng / mờ bề mặt (Gloss/Matte),Gloss/Matte,"Độ bóng/mờ đúng loại spec, đồng nhất",Gloss/matte per spec,Soi mắt nghiêng; vs mẫu,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,
LBL-C6,LABEL,C·Màu sắc,C6,Đồng nhất màu giữa các lô,Lot-to-lot,Màu nhất quán so lô trước & mẫu,Consistent vs prev lot,Đối chiếu mẫu lưu lô trước,○ Minor,4.0,FAI 100% + AQL 4.0,Visual,OTHER,,,,,
LBL-D1,LABEL,D·Chức năng,D1,Độ bám mực — Tape test,Tape adhesion,Dán & bóc băng keo 3M: mực không bong,Apply/peel tape: no ink loss,"Băng keo chuẩn, bóc 1 lần dứt khoát",◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Phá hủy; theo spec khách
LBL-D2,LABEL,D·Chức năng,D2,Cross-cut — rạch ô bàn cờ,Cross-cut,ISO 2409 ≤ Class 1 / ASTM D3359 ≥ 4B,ISO2409 ≤1 / D3359 ≥4B,"Dao rạch ô + băng keo, bóc & soi",◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,ISO 2409/ASTM D3359,,
LBL-D3,LABEL,D·Chức năng,D3,Mài mòn cồn (Alcohol/IPA rub),IPA rub,"Chà cồn theo spec (vd 50 lần/500g): không mờ, mất",IPA rub per spec: no fade,Máy/bút chà + bông tẩm cồn,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Phá hủy; theo spec khách
LBL-D4,LABEL,D·Chức năng,D4,Mài mòn / chà xước (Rub/RCA),Rub/RCA,"Đạt số chu kỳ spec, không mòn lớp in","Pass cycles, no wear",RCA tester / eraser test,● Major,1.5,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,,,,
LBL-D5,LABEL,D·Chức năng,D5,Đọc mã vạch (Barcode/QR),Barcode/QR,"Quét đạt cấp ≥ spec; đúng nội dung & seri, không trùng",Scan grade ≥ spec; no dup,Máy quét/verifier,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,BARCODE,0.0,Y,ISO 15415/15416,Có mã vạch,Lỗi lặp — trùng seri
LBL-D6,LABEL,D·Chức năng,D6,Độ bám keo dán (Adhesive/Peel),Adhesive peel,"Dán lên bề mặt chuẩn: không bong mép, đủ lực bóc","No edge lift, adequate peel",Dán thử + lực kế (nếu spec),● Major,1.5,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,,,Nhãn có keo,If adhesive
DGT-A1,DIGITAL,A·Ngoại quan,A1,Đúng nội dung in & seri biến đổi,Print/variable content correct,"Nội dung, mã, seri biến đổi ĐÚNG so spec/mẫu; không trùng seri","Content/variable serial correct, no dup",Soi mắt + đối chiếu mẫu/spec; kính lúp,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,CONTENT,,Y,,,Indigo in dữ liệu biến đổi
DGT-A2,DIGITAL,A·Ngoại quan,A2,Sọc ngang / banding,Banding,"Tông đều, không sọc ngang theo chu kỳ blanket","Even tone, no periodic banding",Soi mắt nghiêng + đèn; đối chiếu mẫu,● Major,1.5,FAI 100% + AQL 1.5,Visual,BANDING,,Y,,,Lỗi đặc thù digital
DGT-A3,DIGITAL,A·Ngoại quan,A3,Sương nền / chấm spray / bẩn,Background fog / spray dots,"Nền sạch, không sương mực, chấm spray, bẩn","Clean ground, no fog/spray/dirt",Soi mắt dưới đèn chuẩn,● Major,1.5,FAI 100% + AQL 1.5,Visual,DIRTY,,Y,,,
DGT-A4,DIGITAL,A·Ngoại quan,A4,Mất nét / vạch trắng / dropout,Dropout / white line,"Đủ nét, không mất hạt mực, vạch trắng do blanket/ITM","Full coverage, no dropout/white line",Soi mắt + kính lúp; đối chiếu mẫu,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,DROPOUT,,Y,,,Blanket/ITM lỗi → mất in
DGT-A5,DIGITAL,A·Ngoại quan,A5,Bóng ma / lưu hình blanket (Ghosting),Ghosting / blanket memory,Không bóng hình lặp từ frame trước,No repeated ghost image,Soi mắt,● Major,1.5,FAI 100% + AQL 1.5,Visual,GHOST,,Y,,,Đặc thù digital
DGT-A6,DIGITAL,A·Ngoại quan,A6,Lệch chồng màu (digital),Mis-register,Các màu/lớp chồng khít so mẫu,Colors registered vs master,Soi mắt + kính lúp,● Major,1.5,FAI 100% + AQL 1.5,Visual,MISREG,,,,,
DGT-A7,DIGITAL,A·Ngoại quan,A7,Xước bề mặt (Scratch),Scratch,Không vết xước trên bề mặt in,No scratch on print,Soi mắt nghiêng + đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,SCRATCH,,,,,
DGT-B1,DIGITAL,B·Kích thước,B1,Vị trí in / đặt ảnh (Image placement),Image placement,Đúng vị trí & lề so spec/đường bế,Correct position & margins,Thước + đối chiếu layout,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
DGT-B2,DIGITAL,B·Kích thước,B2,Chiều dài lặp / co giãn ảnh,Repeat length / scaling,Chiều dài ảnh/bước lặp trong dung sai (co giãn vật liệu),Repeat length within tol,Thước + đếm bước; đối chiếu,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,Digital dễ trôi chiều dài
DGT-C1,DIGITAL,C·Màu sắc,C1,Màu so mẫu chuẩn (ΔE),Color vs master,Đạt giới hạn màu; ΔE ≤ spec (mặc định ≤2),Within color limits; ΔE ≤ spec,Đèn chuẩn D50/D65 + máy đo màu,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,COLOR,,Y,,,
DGT-C2,DIGITAL,C·Màu sắc,C2,Đồng nhất màu trong & giữa lô (drift),Color consistency / drift,Màu ổn định trong job & giữa lô; không trôi màu,Stable color within/between runs,So mẫu lưu + đo đầu/giữa/cuối job,● Major,1.5,FAI 100% + AQL 1.5,Visual,COLORDRIFT,,Y,,,Digital trôi màu nhanh hơn
DGT-D1,DIGITAL,D·Chức năng,D1,Bám ElectroInk — Tape test,ElectroInk adhesion,Dán & bóc băng keo: mực không bong,Apply/peel tape: no ink loss,"Băng keo chuẩn, bóc 1 lần dứt khoát",◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Indigo cần corona/primer; phá hủy
DGT-D2,DIGITAL,D·Chức năng,D2,Cross-cut — rạch ô bàn cờ,Cross-cut,ISO 2409 ≤ Class 1 / ASTM D3359 ≥ 4B,ISO2409 ≤1 / D3359 ≥4B,"Dao rạch ô + băng keo, bóc & soi",◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,ISO 2409/ASTM D3359,,
DGT-D3,DIGITAL,D·Chức năng,D3,Mài mòn cồn (Alcohol/IPA rub),IPA rub,"Chà cồn theo spec: chữ/mực không mờ, mất",IPA rub per spec: no fade,Máy/bút chà + bông tẩm cồn,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Phá hủy; theo spec khách
DGT-D4,DIGITAL,D·Chức năng,D4,Đọc mã vạch + seri biến đổi,Barcode/QR + variable serial,Quét đạt cấp ≥ spec; đúng nội dung & seri; không trùng,Scan grade ≥ spec; no dup serial,Máy quét/verifier 100% đầu chuyền,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,BARCODE,,Y,ISO 15415/15416,Có mã vạch/seri,Indigo dữ liệu biến đổi
SLK-A1,SILK,A·Ngoại quan,A1,Đúng nội dung in (text/logo/mã),Print content correct,"Nội dung, ký tự, logo, mã ĐÚNG so spec/mẫu",Content correct vs master,Soi mắt + đối chiếu mẫu/spec; kính lúp,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,CONTENT,,Y,,,Nội dung biến đổi
SLK-A2,SILK,A·Ngoại quan,A2,Bẩn / bụi / đốm / chấm,Dirty/Dust/Smear/Dot,"Không vết bẩn, bụi, đốm, chấm mực",No dirt/dust/smear/dots,Soi mắt dưới đèn chuẩn,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,DIRTY,72.6,Y,,,Top1 — 73% NG (áp đảo)
SLK-A3,SILK,A·Ngoại quan,A3,Mất nét ký tự / Incomplete,Missing strokes,"In đủ nét, đủ lớp, không mất nét chữ","Full sharp print, all layers",Soi mắt + kính lúp; vs mẫu,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,MISSING,1.2,Y,,,Lỗi lặp — khuôn/NL bẩn
SLK-A4,SILK,A·Ngoại quan,A4,Lệch (Mis-register),Mis-register,Chồng lớp/màu khít so mẫu,Layers registered,Soi mắt + đối chiếu,● Major,1.5,FAI 100% + AQL 1.5,Visual,MISREG,8.7,Y,,,
SLK-A5,SILK,A·Ngoại quan,A5,Không đều / mỏng-dày (Uneven),Uneven,"Lớp mực đều, không chỗ mỏng/dày",Even ink,Soi mắt nghiêng,● Major,1.5,FAI 100% + AQL 1.5,Visual,UNEVEN,1.2,,,,
SLK-A6,SILK,A·Ngoại quan,A6,Xước (Scratch),Scratch,Không vết xước bề mặt in,No scratch,Soi mắt + đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,SCRATCH,1.4,Y,,,
SLK-A7,SILK,A·Ngoại quan,A7,Bong mực (Peel-off ink),Peel-off ink,"Mực bám chắc, không bong",Ink adhered,Soi mắt + sờ,● Major,1.5,FAI 100% + AQL 1.5,Visual,PEEL,0.3,,,,
SLK-A8,SILK,A·Ngoại quan,A8,Lỗ pin / chấm do thủng khuôn,Pinhole,"Không chấm, lỗ do thủng khuôn",No pinhole from screen,Soi mắt + đèn nền,● Major,1.5,FAI 100% + AQL 1.5,Visual,PINHOLE,0.2,,,,Lỗi lặp — thủng khuôn
SLK-A9,SILK,A·Ngoại quan,A9,Hiện hình / vệt (Ghost/Streak),Ghost/Streak,"Không vệt, bóng hình lạ trên SP",No ghost/stray image,Soi mắt,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,Lỗi lặp — lớp matte
SLK-A10,SILK,A·Ngoại quan,A10,Lõm (Dent),Dent,Không lõm trên bề mặt,No dent,Soi mắt nghiêng,● Major,1.5,FAI 100% + AQL 1.5,Visual,DENT,0.3,,,,
SLK-A11,SILK,A·Ngoại quan,A11,Bavia / cắt sâu mép (Burr/Full-cut),Burr/Full-cut,"Mép sạch, không bavia, không cắt sâu","Clean edge, no over-cut",Soi mắt + sờ mép,● Major,1.5,FAI 100% + AQL 1.5,Visual,BURR,0.0,,,,
SLK-B1,SILK,B·Kích thước,B1,Kích thước & vị trí in,Size/Position,"Đúng vị trí, trong dung sai spec",Correct position & tol,Thước cặp + đối chiếu layout,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,Y,,,
SLK-B2,SILK,B·Kích thước,B2,Độ dày / độ phủ lớp in (Film/Opacity),Film/Coverage,Đủ độ dày/độ chắn sáng (mực đèn) theo spec,Sufficient film/opacity,Soi sáng xuyên / đo (nếu spec),● Major,1.5,FAI 100% + AQL 1.5,Measure,OTHER,,,,Mực đèn,Lỗi lặp — mực đèn lọt sáng
SLK-B3,SILK,B·Kích thước,B3,Vị trí ký tự / khoảng cách,Char position,Ký tự đúng vị trí & khoảng cách spec,Char position & spacing,Thước + kính lúp; đối chiếu,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
SLK-B4,SILK,B·Kích thước,B4,Số lớp in / thứ tự lớp,Layers/Sequence,Đủ số lớp & đúng thứ tự in spec,"All layers, correct sequence",Đối chiếu spec + đếm lớp,● Major,1.5,FAI 100% + AQL 1.5,Measure,OTHER,,,,,
SLK-C1,SILK,C·Màu sắc,C1,Màu so mẫu chuẩn (ΔE),Color vs master,Đạt giới hạn màu; ΔE ≤ spec,Within color limits,Đèn chuẩn + máy đo màu (nếu có),◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,COLOR,0.4,Y,,,
SLK-C2,SILK,C·Màu sắc,C2,Mã mực đúng spec (Ink code),Ink code,Mã mực thực tế ↔ spec khớp,Ink code matches spec,Đối chiếu tem mực ↔ spec,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,OTHER,,Y,,,Lỗi lặp — mã mực sai
SLK-C3,SILK,C·Màu sắc,C3,Độ sáng mực đèn / huỳnh quang,Luminous,"Mực đèn đủ sáng, đều, không lọt sáng","Luminous bright, even",Soi buồng tối / đèn UV,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,Y,,Mực đèn,Lỗi lặp — mực đèn
SLK-C4,SILK,C·Màu sắc,C4,Đồng đều màu (Uniformity),Uniformity,Màu đều toàn SP & giữa các con,Color even,Soi mắt nhiều vị trí,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,
SLK-C5,SILK,C·Màu sắc,C5,Độ bóng / mờ (Gloss/Matte),Gloss/Matte,"Độ bóng/mờ đúng loại spec, đồng nhất",Gloss/matte per spec,Soi mắt nghiêng; vs mẫu,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,,
SLK-D1,SILK,D·Chức năng,D1,Độ bám mực — Tape test,Tape adhesion,Dán & bóc băng keo: mực không bong,Apply/peel tape: no loss,"Băng keo chuẩn, bóc 1 lần",◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Phá hủy; theo spec khách
SLK-D2,SILK,D·Chức năng,D2,Cross-cut — rạch ô bàn cờ,Cross-cut,ISO 2409 ≤ Class 1 / ASTM D3359 ≥ 4B,ISO2409 ≤1 / D3359 ≥4B,Dao rạch ô + băng keo,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,ISO 2409/ASTM D3359,,
SLK-D3,SILK,D·Chức năng,D3,Mài mòn cồn (Alcohol/IPA rub),IPA rub,Chà cồn theo spec (vd 50–100 lần): ký tự không mờ,IPA rub per spec: no fade,Máy/bút chà + bông tẩm cồn,◆ Critical,0.65,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,Y,,,Quan trọng cho in lụa ký tự
SLK-D4,SILK,D·Chức năng,D4,Mài mòn / chà xước (Rub/RCA),Rub/RCA,"Đạt số chu kỳ spec, không mòn lớp in","Pass cycles, no wear",RCA / eraser test,● Major,1.5,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,OTHER,,,,,
SLK-D5,SILK,D·Chức năng,D5,"Đọc mã vạch (Barcode, nếu có)",Barcode,"Quét đạt cấp ≥ spec, đúng nội dung",Scan grade ≥ spec,Máy quét/verifier,● Major,1.5,FAI 3–5pc + định kỳ/ca (phá hủy),Functional,BARCODE,,,ISO 15415/15416,Có mã vạch,
PNC-A1,PRESS_CNC,A·Ngoại quan,A1,Gãy / nứt (Crack),Crack,"Không gãy, nứt trên sản phẩm",No crack/fracture,Soi mắt + uốn/soi nhẹ,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,CRACK,16.3,Y,,,Top1 — 16% NG
PNC-A2,PRESS_CNC,A·Ngoại quan,A2,Sứt mẻ (Dent/Chip),Dent/Chip,"Không sứt, mẻ cạnh/bề mặt",No chip/nick,Soi mắt + sờ cạnh,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,DENT,12.7,Y,,,
PNC-A3,PRESS_CNC,A·Ngoại quan,A3,Lồi lõm (Convex/Concave),Convex/Concave,"Bề mặt phẳng đều, không lồi lõm",Flat even surface,Soi mắt nghiêng + thước thẳng,● Major,1.5,FAI 100% + AQL 1.5,Visual,CONVEX,10.3,Y,,,
PNC-A4,PRESS_CNC,A·Ngoại quan,A4,Bavia (Burr),Burr,"Cạnh cắt sạch, không bavia","Clean cut edge, no burr",Soi mắt + sờ cạnh,● Major,1.5,FAI 100% + AQL 1.5,Visual,BURR,10.8,Y,,,
PNC-A5,PRESS_CNC,A·Ngoại quan,A5,"Sơ, dắt mép (Fray/Whisker)",Fray/Whisker,"Không sơ, dắt mép cắt",No fray at cut edge,Soi mắt + kính lúp,● Major,1.5,FAI 100% + AQL 1.5,Visual,FRAY,9.8,Y,,,
PNC-A6,PRESS_CNC,A·Ngoại quan,A6,Vỡ sơn / nứt sơn (Paint crack),Paint crack,"Lớp sơn/in không vỡ, nứt",Paint/print no crack,Soi mắt + uốn nhẹ,◆ Critical,0.65,FAI 100% + AQL 0.65,Visual,PAINTCRK,7.3,Y,,,Lỗi nhầm hàng (2 mã giống design)
PNC-A7,PRESS_CNC,A·Ngoại quan,A7,Trầy xước (Scratch),Scratch,Không vết trầy trên bề mặt,No scratch,Soi mắt + đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,SCRATCH,5.3,Y,,,
PNC-A8,PRESS_CNC,A·Ngoại quan,A8,Dập lệch / sai vị trí dập,Press deviation,"Vị trí dập đúng, không lệch",Correct press position,Soi mắt + đối chiếu dưỡng,● Major,1.5,FAI 100% + AQL 1.5,Visual,PRESSDEV,2.6,,,,
PNC-A9,PRESS_CNC,A·Ngoại quan,A9,Loang / bẩn bề mặt (Dirty),Dirty,"Bề mặt sạch, không loang, bẩn","Clean, no stain",Soi mắt dưới đèn,● Major,1.5,FAI 100% + AQL 1.5,Visual,DIRTY,0.1,,,,
PNC-A10,PRESS_CNC,A·Ngoại quan,A10,Dính dầu (Oil stain),Oil stain,"Bề mặt sạch, không dính dầu","Clean, no oil",Soi mắt + lau thử,● Major,1.5,FAI 100% + AQL 1.5,Visual,OIL,1.1,,,,
PNC-A11,PRESS_CNC,A·Ngoại quan,A11,Đúng nội dung khắc/in,Engraved/printed content,Nội dung khắc/in ĐÚNG so spec/mẫu,Content correct (if any),Soi mắt + đối chiếu mẫu/spec,● Major,1.5,FAI 100% + AQL 1.5,Visual,OTHER,,,,Có in/khắc,If printed/engraved
PNC-A12,PRESS_CNC,A·Ngoại quan,A12,NG keo / tràn keo (Glue NG),Glue NG,"Keo đúng vị trí/lượng, không tràn","Glue correct, no overflow",Soi mắt,○ Minor,4.0,FAI 100% + AQL 4.0,Visual,GLUE,2.2,,,Có keo,If glued
PNC-B1,PRESS_CNC,B·Kích thước,B1,Kích thước tổng thể (Overall dim.),Overall dim,Trong dung sai bản vẽ; đo TRƯỚC khi gấp/bóng kính,Within tol; measure BEFORE fold,Thước cặp / CMM,◆ Critical,0.65,FAI 100% + AQL 0.65,Measure,SIZE,,Y,,,Lỗi lặp — dao biến dạng
PNC-B2,PRESS_CNC,B·Kích thước,B2,Vị trí dập / cắt (Press/Cut pos.),Press/Cut position,Đúng vị trí so dưỡng/bản vẽ,Correct vs gauge/drawing,Đối chiếu dưỡng + thước,◆ Critical,0.65,FAI 100% + AQL 0.65,Measure,SIZE,,Y,,,
PNC-B3,PRESS_CNC,B·Kích thước,B3,Độ sâu cắt / lớp lót (Cut depth),Cut depth/Liner,"Không cắt sâu vào lõi, không rách lớp lót",No over-cut into core,Tách & soi lớp lót; đo,◆ Critical,0.65,FAI 100% + AQL 0.65,Measure,FULLCUT,7.9,Y,,,Lỗi lặp — lõi cắt sâu
PNC-B4,PRESS_CNC,B·Kích thước,B4,Góc / biên dạng (Angle/Profile),Angle/Profile,"Đúng hình dao/khuôn, đúng góc",Correct die shape & angle,Đối chiếu dưỡng/mẫu,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,,
PNC-B5,PRESS_CNC,B·Kích thước,B5,Vị trí / đường kính lỗ (Hole),Hole pos./dia.,Lỗ đúng vị trí & đường kính spec,Holes correct pos & dia,Thước cặp / pin gauge,● Major,1.5,FAI 100% + AQL 1.5,Measure,SIZE,,,,Có lỗ,If holes
