ItemId,GroupCode,GroupLabelVi,GroupLabelEn,ItemVi,ItemEn,InDefaultMatrix,DefaultAcceptanceVi,DefaultAcceptanceEn,DefaultMethodVi,DefaultMethodEn,Sort,Category,Kind,MeasureCount
RD-05,NQ,Ngoại quan,External inspection,Xước,Scratch,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1050,Roll,DefectCount,0
RD-06,NQ,Ngoại quan,External inspection,Biến dạng,Deformation,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1060,Roll,DefectCount,0
RD-07,NQ,Ngoại quan,External inspection,Màu sắc,Colour,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1070,Roll,DefectCount,0
RD-08,NQ,Ngoại quan,External inspection,Dị vật,Foreign matter,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1080,Roll,DefectCount,0
RD-09,NQ,Ngoại quan,External inspection,Bẩn,Dirt,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1090,Roll,DefectCount,0
RD-10,NQ,Ngoại quan,External inspection,Rỗ / Thủng,Pinhole / puncture,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1100,Roll,DefectCount,0
RD-11,NQ,Ngoại quan,External inspection,Lệch,Misalignment,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1110,Roll,DefectCount,0
RD-12,NQ,Ngoại quan,External inspection,Bavia,Burr,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1120,Roll,DefectCount,0
RD-13,NQ,Ngoại quan,External inspection,Lỗi khác,Other defect,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1130,Roll,DefectCount,0
PD-01,NQ,Ngoại quan,External inspection,Nhăn,Wrinkle,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1140,Pcs,DefectCount,0
PD-02,NQ,Ngoại quan,External inspection,Hằn,Dent,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1150,Pcs,DefectCount,0
PD-03,NQ,Ngoại quan,External inspection,Loang,Blotch,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1160,Pcs,DefectCount,0
PD-04,NQ,Ngoại quan,External inspection,Xước,Scratch,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1170,Pcs,DefectCount,0
PD-05,NQ,Ngoại quan,External inspection,Màu sắc,Colour,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1180,Pcs,DefectCount,0
PD-06,NQ,Ngoại quan,External inspection,Dị vật,Foreign matter,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1190,Pcs,DefectCount,0
PD-07,NQ,Ngoại quan,External inspection,Bẩn,Dirt,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1200,Pcs,DefectCount,0
PD-08,NQ,Ngoại quan,External inspection,Biến dạng,Deformation,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1210,Pcs,DefectCount,0
PD-09,NQ,Ngoại quan,External inspection,Bavia,Burr,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1220,Pcs,DefectCount,0
TD-01,NQ,Ngoại quan,External inspection,"Bẩn, ẩm ướt","Dirt, damp",0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1230,Tool,DefectCount,0
TD-02,NQ,Ngoại quan,External inspection,Biến dạng,Deformation,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1240,Tool,DefectCount,0
TD-03,NQ,Ngoại quan,External inspection,Ẩm ướt,Damp,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1250,Tool,DefectCount,0
TD-04,NQ,Ngoại quan,External inspection,"Rỉ sét, đổi màu",Rust / discolouration,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1260,Tool,DefectCount,0
TD-05,NQ,Ngoại quan,External inspection,Bavia,Burr,0,Không có lỗi nào (Ac = 0),Zero defects (Ac = 0),Đếm số lỗi trên mẫu,Count defects on the sample,1270,Tool,DefectCount,0
CD-01,NQ,Ngoại quan,External inspection,"Không rách, không biến dạng, không đổ palet","No tear, no deformation, no pallet collapse",0,Đạt toàn bộ,All pass,Nhìn bằng mắt,Visual check,1280,Chem,Verdict,0
CD-02,NQ,Ngoại quan,External inspection,"Không bẩn, không ẩm ướt","No dirt, no damp",0,Đạt toàn bộ,All pass,Nhìn bằng mắt,Visual check,1290,Chem,Verdict,0
CD-03,NQ,Ngoại quan,External inspection,"Nắp can không lỏng, không rỉ mực","Can lid not loose, no ink leak",0,Đạt toàn bộ,All pass,Nhìn bằng mắt,Visual check,1300,Chem,Verdict,0
