SpecNo,ItemId,Seq,AcceptanceVi,AcceptanceEn,MethodVi,MethodEn,SourceFrequency,Sort
CCL-SPEC-QC005,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,61
CCL-SPEC-QC005,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 04/12/2025,Rohs Date: 12/04/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,62
CCL-SPEC-QC005,BD-01,1,FTM:  2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,63
CCL-SPEC-QC005,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,64
CCL-SPEC-QC005,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,65
CCL-SPEC-QC006,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,66
CCL-SPEC-QC006,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,67
CCL-SPEC-QC006,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,68
CCL-SPEC-QC006,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,69
CCL-SPEC-QC006,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,70
CCL-SPEC-QC006,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,71
CCL-SPEC-QC006,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,72
CCL-SPEC-QC006,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,73
CCL-SPEC-QC006,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,74
CCL-SPEC-QC006,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 27/10/2025,Rohs Date: 10/27/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,75
CCL-SPEC-QC006,BD-01,1,FTM:  2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,76
CCL-SPEC-QC006,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,77
CCL-SPEC-QC006,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,78
CCL-SPEC-QC007,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,79
CCL-SPEC-QC007,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,80
CCL-SPEC-QC007,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,81
CCL-SPEC-QC007,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,82
CCL-SPEC-QC007,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,83
CCL-SPEC-QC007,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,84
CCL-SPEC-QC007,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,85
CCL-SPEC-QC007,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,86
CCL-SPEC-QC007,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,87
CCL-SPEC-QC007,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 30/1/2026,Rohs Date:1/30/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,88
CCL-SPEC-QC007,BD-01,1,FTM:  2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,89
CCL-SPEC-QC007,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,90
CCL-SPEC-QC007,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,91
CCL-SPEC-QC008,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,92
CCL-SPEC-QC008,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,93
CCL-SPEC-QC008,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,94
CCL-SPEC-QC008,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,95
CCL-SPEC-QC008,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,96
CCL-SPEC-QC008,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,97
CCL-SPEC-QC008,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,98
CCL-SPEC-QC008,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,99
CCL-SPEC-QC008,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,100
CCL-SPEC-QC008,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 13/8/2026,Rohs Date: 8/13/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,101
CCL-SPEC-QC008,BD-01,1,FTM:  2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,102
CCL-SPEC-QC008,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,103
CCL-SPEC-QC008,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,104
CCL-SPEC-QC009,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,105
CCL-SPEC-QC009,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,106
CCL-SPEC-QC009,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,107
CCL-SPEC-QC009,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,108
CCL-SPEC-QC009,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,109
CCL-SPEC-QC009,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,110
CCL-SPEC-QC009,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,111
CCL-SPEC-QC009,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,112
CCL-SPEC-QC009,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,113
CCL-SPEC-QC009,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 27/10/2025,Rohs Date: 10/27/2025,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,114
CCL-SPEC-QC009,BD-01,1,FTM:  2,,Máy kiểm tra độ bám dính,Adhesion tester,Kiểm tra 1 lần/ tháng. Check once a month.,115
CCL-SPEC-QC009,CU-01,1,"Loại Bút, Qủa nặng:  XXX","Pen Type, Weight",Không có vết xước,Nhìn bằng mắt & so sánh với mẫu trước và sau. No scratches Visually look & compare with before and after sample.,All lot,116
CCL-SPEC-QC009,XS-01,1,Theo tiêu chuẩn TDS,According to TDS standard,Nhìn bằng mắt & so sánh dữ liệu trên máy với tiêu chuẩn.,Visually look and compare the data on the machine with the standard.,All lot,117
CCL-SPEC-QC010,NL-01,1,Theo mẫu chuẩn được lưu,According to the standard form stored,Kiểm tra mác SP & so sánh với SP mẫu,Check product label & compare with sample product,All lot,118
CCL-SPEC-QC010,NQ-01,1,"Kiểm tra thông tin trên tem, hạn sử dụng…","Check the information on the stamp, expiry date…",,,All lot,119
CCL-SPEC-QC010,NQ-02,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt & so sánh với mẫu chuẩn,Look with your eyes and compare with the standard sample,All lot,120
CCL-SPEC-QC010,NQ-03,1,Không có bụi bẩn,No dust,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,121
CCL-SPEC-QC010,NQ-04,1,Không có xước & nhăn,No scratches & wrinkles,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,122
CCL-SPEC-QC010,NQ-05,1,So với mẫu chuẩn,Compared with the standard sample,Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,123
CCL-SPEC-QC010,NQ-06,1,"Không rách, không biến dạng, không đổ pallet,Không bẩn, không ẩm ướt","No tear, no deformation, no pallet fall, No dirt, no moisture",Nhìn bằng mắt,See with the eyes,Lấy mẫu theo AQL GII 0.4 Sampling according to AQL GII 0.4,124
CCL-SPEC-QC010,KT-01,1,"Theo dữ liệu đầu vào (báo cáo xuất hàng, tem cuộn,…)","According to input data (shipment report, roll stamp, etc.)",So sánh data và thước đo,Compare data and metrics,Do tối đa 5 mẫu/lot Maximum 5 samples/lot,125
CCL-SPEC-QC010,MT-01,1,"Cd,Cl,Hg, Pb, Sb, Cr, Br",,Phân tích thành phần nguyên liệu bằng máy X-ray và so sánh với tiêu chuẩn kiểm tra,Analyze raw material composition by X-ray machine and compare with testing standards,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,126
CCL-SPEC-QC010,MT-02,1,Kiểm tra HSF,,Ngày Rohs: 30/1/2026,Rohs Date: 1/30/2026,Kiểm tra mỗi tháng một lần. Tham khảo tệp kiểm tra Rosh Check once a month. Refer to Rosh test file,127
